                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                  1.407,                 1.0539,                0.79167,                0.98611,              0.0009901
                      1,                 1.0543,                 2.0629,                0.59722,                0.98611,              0.0009802
                      2,                 0.9597,                 1.3823,                0.65278,                      1,              0.0009703
                      3,                0.89935,                 1.2966,                0.61111,                0.97222,              0.0009604
                      4,                0.80806,                 1.0054,                0.70833,                      1,              0.0009505
                      5,                0.77776,                0.98298,                0.79167,                      1,              0.0009406
                      6,                0.76267,                 1.0218,                0.69444,                      1,              0.0009307
                      7,                0.75527,                 1.1907,                0.65278,                      1,              0.0009208
                      8,                0.69535,                 1.2293,                0.68056,                      1,              0.0009109
                      9,                0.76473,                 1.1019,                0.79167,                      1,               0.000901
                     10,                0.73175,                0.93232,                0.81944,                      1,              0.0008911
                     11,                0.70151,                 1.0986,                0.77778,                0.98611,              0.0008812
                     12,                0.63252,                 0.9682,                   0.75,                      1,              0.0008713
                     13,                0.66291,                  0.895,                0.80556,                      1,              0.0008614
                     14,                0.66185,                0.87502,                0.80556,                0.98611,              0.0008515
                     15,                0.71501,                 1.1285,                0.72222,                0.98611,              0.0008416
                     16,                0.70737,                0.96343,                0.72222,                0.98611,              0.0008317
                     17,                  0.668,                0.99206,                0.84722,                0.95833,              0.0008218
                     18,                0.66467,                0.89185,                  0.875,                0.97222,              0.0008119
                     19,                0.62472,                0.85053,                0.81944,                0.98611,               0.000802
                     20,                0.63281,                0.85323,                0.81944,                0.98611,              0.0007921
                     21,                0.61274,                0.95103,                0.80556,                      1,              0.0007822
                     22,                0.62937,                0.95125,                0.76389,                      1,              0.0007723
                     23,                0.60342,                0.88945,                0.77778,                      1,              0.0007624
                     24,                0.58014,                0.89505,                0.80556,                      1,              0.0007525
                     25,                0.60322,                0.76547,                0.83333,                      1,              0.0007426
                     26,                0.58751,                0.75963,                0.80556,                      1,              0.0007327
                     27,                0.60296,                0.87284,                0.77778,                      1,              0.0007228
                     28,                0.58961,                0.80279,                0.83333,                      1,              0.0007129
                     29,                0.56185,                0.82486,                0.84722,                      1,               0.000703
                     30,                0.56814,                 0.8225,                0.81944,                      1,              0.0006931
                     31,                0.57737,                0.83648,                0.83333,                0.98611,              0.0006832
                     32,                0.59402,                0.80532,                0.84722,                0.98611,              0.0006733
                     33,                0.60101,                0.79477,                  0.875,                0.98611,              0.0006634
                     34,                0.57002,                0.85561,                0.83333,                0.97222,              0.0006535
                     35,                0.58219,                0.87166,                0.83333,                0.98611,              0.0006436
                     36,                0.56517,                0.88161,                0.80556,                      1,              0.0006337
                     37,                0.56826,                0.88968,                0.80556,                      1,              0.0006238
                     38,                0.56117,                0.79705,                0.83333,                      1,              0.0006139
                     39,                0.60861,                0.79952,                0.84722,                      1,               0.000604
                     40,                0.57618,                0.87165,                0.81944,                0.97222,              0.0005941
                     41,                0.58589,                0.87825,                0.83333,                0.98611,              0.0005842
                     42,                0.58419,                0.92946,                0.80556,                0.98611,              0.0005743
                     43,                0.54692,                0.91663,                0.73611,                0.98611,              0.0005644
                     44,                0.55147,                0.85523,                0.79167,                      1,              0.0005545
                     45,                0.56357,                0.80397,                0.80556,                      1,              0.0005446
                     46,                 0.5592,                0.82364,                0.79167,                      1,              0.0005347
                     47,                0.55308,                0.77064,                0.83333,                0.98611,              0.0005248
                     48,                 0.5489,                0.74955,                0.86111,                0.98611,              0.0005149
                     49,                0.56117,                0.74465,                  0.875,                      1,               0.000505
                     50,                0.53738,                0.74966,                0.84722,                      1,              0.0004951
                     51,                0.53925,                0.76254,                0.83333,                      1,              0.0004852
                     52,                0.53039,                  0.767,                0.81944,                      1,              0.0004753
                     53,                0.54213,                0.78794,                0.84722,                      1,              0.0004654
                     54,                0.53024,                0.80802,                0.84722,                      1,              0.0004555
                     55,                0.51235,                0.76888,                0.86111,                      1,              0.0004456
                     56,                0.52567,                0.77265,                0.86111,                      1,              0.0004357
                     57,                0.55649,                0.76284,                0.86111,                      1,              0.0004258
                     58,                0.56704,                0.76819,                0.86111,                0.98611,              0.0004159
                     59,                0.54858,                0.77337,                0.88889,                0.97222,               0.000406
                     60,                0.53974,                0.75122,                0.88889,                0.97222,              0.0003961
                     61,                0.52159,                0.76388,                0.84722,                0.98611,              0.0003862
                     62,                0.51595,                 0.7543,                  0.875,                0.98611,              0.0003763
                     63,                0.52935,                 0.7621,                0.86111,                0.98611,              0.0003664
                     64,                0.55099,                0.78138,                0.81944,                0.98611,              0.0003565
                     65,                0.53918,                0.77878,                0.81944,                      1,              0.0003466
                     66,                0.53105,                 0.7579,                0.84722,                      1,              0.0003367
                     67,                0.51747,                0.73491,                  0.875,                      1,              0.0003268
                     68,                0.51326,                0.72964,                0.88889,                      1,              0.0003169
                     69,                 0.5318,                0.73966,                0.88889,                      1,               0.000307
                     70,                 0.5229,                0.76335,                0.84722,                      1,              0.0002971
                     71,                0.51664,                0.75827,                0.86111,                      1,              0.0002872
                     72,                0.51528,                 0.7354,                0.86111,                      1,              0.0002773
                     73,                0.51106,                0.73939,                0.84722,                      1,              0.0002674
                     74,                0.50179,                0.74523,                0.86111,                      1,              0.0002575
                     75,                0.50863,                0.74497,                0.86111,                      1,              0.0002476
                     76,                  0.499,                0.75764,                0.84722,                      1,              0.0002377
                     77,                 0.5078,                0.76732,                0.83333,                      1,              0.0002278
                     78,                0.50927,                0.76463,                0.83333,                      1,              0.0002179
                     79,                0.51514,                0.75552,                0.83333,                      1,               0.000208
                     80,                0.50012,                0.76045,                0.84722,                      1,              0.0001981
                     81,                 0.5206,                0.75845,                0.84722,                      1,              0.0001882
                     82,                0.51211,                0.75317,                0.86111,                      1,              0.0001783
                     83,                0.51641,                0.75337,                0.86111,                      1,              0.0001684
                     84,                0.50613,                0.75681,                0.84722,                      1,              0.0001585
                     85,                0.51201,                0.75849,                0.83333,                      1,              0.0001486
                     86,                0.49456,                0.75375,                  0.875,                      1,              0.0001387
                     87,                0.49674,                0.74778,                0.86111,                      1,              0.0001288
                     88,                0.50009,                0.74802,                0.86111,                      1,              0.0001189
                     89,                 0.4929,                0.74792,                  0.875,                      1,               0.000109
                     90,                 0.4954,                0.74676,                0.86111,                      1,               9.91e-05
                     91,                0.51358,                0.74492,                0.86111,                      1,               8.92e-05
                     92,                0.51258,                0.74743,                  0.875,                      1,               7.93e-05
                     93,                0.48795,                0.75115,                0.88889,                      1,               6.94e-05
                     94,                0.51223,                0.74721,                0.86111,                      1,               5.95e-05
                     95,                0.49654,                0.74548,                0.84722,                      1,               4.96e-05
                     96,                0.49901,                0.74472,                0.83333,                      1,               3.97e-05
                     97,                0.49607,                0.74462,                0.84722,                      1,               2.98e-05
                     98,                0.49488,                0.74187,                0.84722,                      1,               1.99e-05
                     99,                0.49736,                0.74219,                0.84722,                      1,                  1e-05
